Severity,LO,Sub-outcome,Where,Category,Quote,Issue,Fix direction,Note
high,4,4b,insight lo4-tip-continuing / worked example,F: Accuracy doubt,"the business case does not justify starting the project, it justifies continuing it","Contradicts the syllabus objective (justification for initiation, investment and/or continuation) and the study text; the worked example repeats it.",Say it justifies starting and must keep justifying continuation,Check against APM BoK 8 before changing
high,5,5a,Procurement strategy: what it produces,E: Relevance / coverage gap,"For each significant package, the team defines a procurement strategy and creates a procurement management plan.","5a requires knowing the typical contents of a procurement strategy, but no section lists them; only the build steps and sign-off are given.",add a clear list of typical procurement strategy contents,
high,7,7a,whole block,E: Relevance / coverage gap,"The purpose, scope, priorities and strategic aims of assurance","Block title promises strategic aims, a named part of 7a, but no section explains the strategic aims of assurance activities.",add a section on strategic aims of assurance,
high,10,intro,WHERE_THIS_FITS,F: Accuracy doubt,"Six sub-outcomes inside the largest competence area, so LO10 carries real weight.",Wrong: People and behaviours is 25 to 35% of the exam; Planning and managing deployment (30 to 40%) is the largest competence area.,Correct the claim or remove the weighting remark.,"Verified: handbook weights People 25 to 35%, Planning and managing deployment 30 to 40%"
high,14,14a,Diversity: what it means here,F: Accuracy doubt,"Class, language and neurodivergence all appear, and none of them is a legally protected characteristic in the UK.","Neurodivergent conditions (and many mental health conditions) can be protected as disability under the Equality Act 2010, so this is misleading.",Qualify: may be protected via disability,Check against APM BoK 8 before changing
high,14,14a,ACTIVITIES groupup / MISCONCEPTIONS,F: Accuracy doubt,"{""label"": ""Neurodivergence"", ""bucket"": ""wider""}","Activity marks neurodivergence as having no UK legal protection, and the misconception says the same of mental health; both can qualify as disability under the Equality Act 2010.",Replace item and correct the misconception,Check against APM BoK 8 before changing
high,17,17a,MVP and MMP: two different questions,A: Non-study content,"MMP does not: it is standard iterative practice that the syllabus names, so present it as general practice rather than APM content.",Drafting and provenance note addressed to the writer ('present it as') left in learner-facing study text.,Delete the note,Verified (left in by Claude on 2026-09-11)
high,20,20b,insight lo20-tip-show-working,F: Accuracy doubt,"A forward pass, a backward pass and a float column earn marks even when one number comes out wrong.","Handbook question types (multiple response, select from list, short and long typed response) give no basis for method marks on drawn calculation tables.",Remove the method-marks claim,Check against APM BoK 8 before changing
high,22,syllabus,SYLLABUS list,E: Relevance / coverage gap,"22b) Know how to forecast and refine budgets using cost control techniques, e.g. earned value.","The lesson maps only 22a and 22b; syllabus outcomes 22c (monitor and report financial performance, including types of financial reports) and 22d (financial closedown) are not listed as sub-outcomes, and types of financial report are not named, although reporting and closedown sections exist under 22b.",Add 22c and 22d and give each its own block,
medium,1,1a,Phases: why projects are structured this way,A: Non-study content,it pays to learn them as three named reasons rather than a vague sense that phases are tidy.,Study-technique aside in the study text.,State the three reasons plainly,
medium,1,1b,Benefits measurement: how it actually happens,F: Accuracy doubt,This is what the extra phases actually do:,"The lead-in does not match the list, which covers early benefits planning and sponsor accountability, not what the adoption and benefits phases do.",Retitle the lead-in to match the list,Check against APM BoK 8 before changing
medium,1,1b,KEY_DEFINITIONS / MISCONCEPTIONS (extended life cycle),F: Accuracy doubt,The team stays accountable until the change is embedded and the benefits show up.,"Contradicts the study text, which says the sponsor is ultimately accountable for benefits; the team is involved, not accountable.",Say the team stays involved while the sponsor remains accountable,Check against APM BoK 8 before changing
medium,1,intro,WHERE_THIS_FITS,G: Language,Several of which ask you directly how a process differs between linear and iterative.,"Orphan sentence fragment with no main clause, and it refers to exam questions.",Join it to the previous sentence and drop the exam reference,
medium,1,1b,"Outputs, outcomes and benefits: the chain that connects them",H: Structure,Delivering the output guarantees none of the rest. That is the entire argument for extending.,"Near-empty section: only a quoted example and a remark, with no definition of output, outcome or benefit.",Add a short definition of each link in the chain,
medium,2,2d,Strategic alignment: why the link has to be explicit,A: Non-study content,The corollary is the sharp bit,Writer's aside; 'Read that as intended.' in the next paragraph is another.,Remove the asides,
medium,2,2d,"Strategic alignment: what it buys, concretely",A: Non-study content,That last row connects 2d straight back to 2b,Meta cross-reference to outcome codes in the study text.,State the board duty without outcome codes,
medium,2,intro,WHERE_THIS_FITS,B: Exam advice in study text,the syllabus says so: the life cycle you chose changes the governance framework you need,Syllabus talk and motivational filler ('pays back four or five times over') in the intro.,State the link without the syllabus and payoff remarks,
medium,2,2b,insight lo2-tip-sponsor-vs-pm,C: Insight problem,"This is the sharpest, most frequently examined comparison in the LO.","Unsupported claim about frequency, and the two facts given repeat the bullets directly above.",Give a genuine exam angle or remove,
medium,2,2c,Limits of financial authority / insight lo2-tip-financial-limits,C: Insight problem,"Management reserve belongs to the sponsor, not to you, and escalating past your limit is the system working as designed","The insight repeats two sentences that already appear in the study text, which itself states the reserve point twice.",Remove the repetition,
medium,2,2d,insight lo2-tip-question-relevance,C: Insight problem,"the answer executives want is whether it should continue at all, not a better communications plan.",Nearly word for word the same as the study paragraph above it.,Replace with a distinct exam tip or remove,
medium,2,2a,"Temporary structures: functional, matrix and project",D: Subheading,"Temporary structures: functional, matrix and project","Calls functional a temporary structure, although the previous section says the permanent organisation is built on functional departments. The syllabus separates permanent and temporary structures.",Retitle as project organisation structures and fix the matching key definition,
medium,2,2c,"Limits of financial authority: bounded, not binary",F: Accuracy doubt,| Governance board | Beyond the sponsor's limit; determines change requests and agrees major departures from plan |,Putting the board above the sponsor conflicts with the sponsor usually chairing the board (key definition) and with the sponsor-as-primary governance model.,Note the ladder depends on the governance model used,Check against APM BoK 8 before changing
medium,2,2b,Distinct roles: why they exist at all,G: Language,"Because governance is a framework of accountability, and accountability that is shared is accountability that is absent.",Opens with a subordinate-clause fragment that answers the heading rather than forming a sentence.,Make it a full sentence,
medium,3,intro,WHERE_THIS_FITS,B: Exam advice in study text,"the content shows up inside other LOs' scenarios, which is where most of its marks actually get won.","Exam and mark talk plus LO-count meta in the intro ('the exam does not treat it as one', 'Only two sub-outcomes').",Keep the cross-links and remove the exam claims,
medium,3,3a,Sustainability: what it means here,B: Exam advice in study text,"The syllabus expects the more ambitious framing, not sustainability as damage limitation.","Syllabus talk in the study text, and unsupported: the PMQ syllabus does not mention regenerative approaches.","Attribute the aim to APM guidance, not the syllabus",
medium,3,3a,Physical vs digital products: why the difference matters,B: Exam advice in study text,A useful distinction if a scenario names the product type.,The section opens with exam advice instead of study content.,Remove or move to an insight,
medium,3,3a,LO3 objective / Sustainability: what it means here,E: Relevance / coverage gap,"sustainability brings economic, environmental, social, human and governance factors into the project","The syllabus objective names environmental, social, economic and administrative considerations, but the material never mentions or reconciles 'administrative'.",Link the syllabus's four considerations to the five factors used,
medium,3,3a,Sustainability across the life cycle: the impact at each stage,F: Accuracy doubt,"referencing the Five Case Model (natural, human, social, manufactured, financial) or the Green Book","Repeats the APM Body of Knowledge's own wording, which lists the Five Capitals (natural, human, social, manufactured, financial) under the name 'Five Case Model'; this contradicts LO4, where the Five Case Model is strategic, economic, commercial, financial and management.",Decide: follow LO4 (HM Treasury) naming and note the Five Capitals separately,Verified: BoK 8 p.~3338 contains this wording
medium,3,3a,insight lo3-tip-lifecycle-counterintuitive,F: Accuracy doubt,"you take the longer programme when a better option turns up mid-delivery. However, sustainability outranking schedule","Says the longer schedule is always taken, which contradicts the text ('change course, or accept') and the worked example ('No, you assess it'). The 'However' is also misused.",Say the option is assessed and may justify a longer schedule,Check against APM BoK 8 before changing
medium,4,4a,Business cases: storytelling documents,A: Non-study content,"It is an unusual point for APM to make, and worth using, because it shows judgement and is examinable.",Provenance commentary and exam advice in the study text.,Remove,
medium,4,4a,"PESTLE, SWOT and VUCA: the three named techniques",A: Non-study content,"The Body of Knowledge does not set them out as business case tools, so learn them as standard practice the syllabus expects you to know","Provenance and syllabus talk in the study text ('The syllabus names PESTLE, SWOT and VUCA specifically' is another). It also sits oddly with the key definitions, which label these 'apm_definition'.",Remove the provenance and syllabus remarks,
medium,4,4b,When to review it: use the control points you already have,A: Non-study content,"That is an efficiency argument, and it is the reason 4b exists as a distinct sub-outcome.","Meta commentary on syllabus structure, and it misstates 4b, which is about the importance of regular review and the baseline.",Remove,
medium,4,intro,WHERE_THIS_FITS,B: Exam advice in study text,"Answers that treat it as something signed once and filed lose marks across several LOs, not only this one.",Exam-marking claim in the intro.,Move to an insight or remove,
medium,4,4b,The business case as baseline: what that means,B: Exam advice in study text,The syllabus asks you to know that the business case forms the baseline for the project.,Syllabus talk in the study text; 'one the exam distinguishes' later in the section is another.,State the content directly and move the exam note to an insight,
medium,4,4b,Lessons learned: feeding variances back,B: Exam advice in study text,"Essentially, that closes a loop worth naming in an answer",Exam-answer advice and filler in the study text.,Remove the answer advice,
